image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
1024.jpg,1024,1024,median5,rows,1,12,293.336017,3.574658,1.025892
1024.jpg,1024,1024,median5,rows,2,12,156.474992,6.701237,1.923190
1024.jpg,1024,1024,median5,rows,4,12,93.010683,11.273716,3.235448
1024.jpg,1024,1024,median5,rows,8,12,64.552375,16.243802,4.661814
1024.jpg,1024,1024,median5,columns,1,12,293.568433,3.571828,1.025080
1024.jpg,1024,1024,median5,columns,2,12,162.501050,6.452734,1.851872
1024.jpg,1024,1024,median5,columns,4,12,92.404992,11.347612,3.256655
1024.jpg,1024,1024,median5,columns,8,12,64.003200,16.383181,4.701815
1024.jpg,1024,1024,median5,grid,1,12,293.759567,3.569504,1.024413
1024.jpg,1024,1024,median5,grid,2,12,155.213158,6.755716,1.938825
1024.jpg,1024,1024,median5,grid,4,12,93.130750,11.259181,3.231276
1024.jpg,1024,1024,median5,grid,8,12,68.840625,15.231936,4.371419
2048.jpg,2048,2048,gaussian3,sequential,1,6,153.194550,27.378937,1.000000
2048.jpg,2048,2048,gaussian3,pixels,1,6,251.713050,16.663038,0.608608
2048.jpg,2048,2048,gaussian3,pixels,2,6,242.594333,17.289373,0.631484
2048.jpg,2048,2048,gaussian3,pixels,4,6,171.697067,24.428513,0.892237
2048.jpg,2048,2048,gaussian3,pixels,8,6,134.065617,31.285456,1.142683
2048.jpg,2048,2048,gaussian3,rows,1,6,150.482550,27.872361,1.018022
2048.jpg,2048,2048,gaussian3,rows,2,6,80.347433,52.202091,1.906651
2048.jpg,2048,2048,gaussian3,rows,4,6,51.063500,82.138984,3.000079
2048.jpg,2048,2048,gaussian3,rows,8,6,45.151233,92.894561,3.392921
2048.jpg,2048,2048,gaussian3,columns,1,6,153.682583,27.291993,0.996824
